mode,episode,total_reward,steps,success,final_info
search,0,-17.210539215564726,200,False,"{'coverage': 0.5, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,1,-15.583926963806144,200,False,"{'coverage': 0.5833333333333334, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,2,-16.950026943683625,200,False,"{'coverage': 0.3888888888888889, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,3,-11.860096087932584,200,False,"{'coverage': 0.4166666666666667, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,4,-22.239823379516636,200,False,"{'coverage': 0.19444444444444445, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,5,-22.63269039487844,200,False,"{'coverage': 0.25, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,6,-4.276714437484742,151,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,7,-6.430192898273474,200,False,"{'coverage': 0.5833333333333334, 'new_cells': 0, 'success': False, 'in_search': True, 'in_op': True}"
search,8,-6.52215342140198,200,False,"{'coverage': 0.5555555555555556, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,9,-13.640018690586093,200,False,"{'coverage': 0.4444444444444444, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,10,-13.248941184520719,200,False,"{'coverage': 0.3888888888888889, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,11,-13.858761267185209,200,False,"{'coverage': 0.3611111111111111, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,12,-0.11306899452209551,70,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,13,-7.891549640655513,178,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,14,-0.5110254077911371,100,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,15,0.2292194972038265,83,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,16,1.0195160613060015,127,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,17,-5.91398120117188,200,False,"{'coverage': 0.4722222222222222, 'new_cells': 1, 'success': False, 'in_search': True, 'in_op': True}"
search,18,-3.33905163860321,174,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,19,-1.8296206979751568,109,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,20,1.9994232153892515,69,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,21,2.681517683506012,49,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,22,-8.56731520891189,200,False,"{'coverage': 0.5555555555555556, 'new_cells': 0, 'success': False, 'in_search': False, 'in_op': True}"
search,23,2.615175973415375,115,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,24,1.3700558609962463,68,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,25,-1.0660396146774287,100,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,26,0.19138036632537803,104,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
