time,event,uav_id,area_id,target_id,detector_uav_id,tracker_uav_id,reason
-1,initial_search_assignment,0.0,0.0,,,,
-1,initial_search_assignment,1.0,1.0,,,,
-1,initial_search_assignment,2.0,2.0,,,,
1,target_detected,,,0.0,1.0,,
1,assign_tracking,,,0.0,,1.0,
1,reassign_search_areas,,,0.0,,,tracking_assigned
2,tracking_update,,,0.0,,1.0,
3,target_detected,,,0.0,0.0,,
3,tracking_update,,,0.0,,1.0,
4,target_detected,,,0.0,0.0,,
4,tracking_update,,,0.0,,1.0,
5,target_detected,,,0.0,0.0,,
5,tracking_update,,,0.0,,1.0,
6,target_detected,,,2.0,0.0,,
6,assign_tracking,,,2.0,,0.0,
6,reassign_search_areas,,,2.0,,,tracking_assigned
6,tracking_update,,,0.0,,1.0,
7,tracking_update,,,2.0,,0.0,
7,tracking_update,,,0.0,,1.0,
8,tracking_update,,,2.0,,0.0,
8,tracking_update,,,0.0,,1.0,
9,tracking_update,,,2.0,,0.0,
9,tracking_update,,,0.0,,1.0,
10,target_detected,,,2.0,2.0,,
10,tracking_update,,,2.0,,0.0,
10,tracking_update,,,0.0,,1.0,
11,target_detected,,,2.0,2.0,,
11,tracking_update,,,2.0,,0.0,
11,tracking_update,,,0.0,,1.0,
12,tracking_update,,,2.0,,0.0,
12,tracking_update,,,0.0,,1.0,
13,tracking_update,,,2.0,,0.0,
13,tracking_update,,,0.0,,1.0,
14,tracking_update,,,2.0,,0.0,
14,tracking_update,,,0.0,,1.0,
15,tracking_update,,,2.0,,0.0,
15,tracking_update,,,0.0,,1.0,
16,tracking_update,,,2.0,,0.0,
16,tracking_update,,,0.0,,1.0,
17,tracking_update,,,2.0,,0.0,
17,tracking_update,,,0.0,,1.0,
18,tracking_update,,,0.0,,1.0,
19,tracking_update,,,0.0,,1.0,
20,tracking_update,,,0.0,,1.0,
21,tracking_update,,,0.0,,1.0,
22,tracking_update,,,0.0,,1.0,
23,tracking_update,,,0.0,,1.0,
24,target_detected,,,2.0,2.0,,
24,tracking_update,,,0.0,,1.0,
25,target_detected,,,2.0,2.0,,
25,tracking_update,,,0.0,,1.0,
26,tracking_update,,,0.0,,1.0,
27,tracking_update,,,0.0,,1.0,
28,tracking_update,,,0.0,,1.0,
29,tracking_update,,,0.0,,1.0,
30,tracking_update,,,0.0,,1.0,
31,tracking_update,,,0.0,,1.0,
32,tracking_update,,,0.0,,1.0,
33,tracking_update,,,0.0,,1.0,
34,tracking_update,,,0.0,,1.0,
35,tracking_update,,,0.0,,1.0,
36,tracking_update,,,0.0,,1.0,
37,tracking_update,,,0.0,,1.0,
38,tracking_update,,,0.0,,1.0,
40,target_detected,,,1.0,2.0,,
40,assign_tracking,,,1.0,,2.0,
40,reassign_search_areas,,,1.0,,,tracking_assigned
41,tracking_update,,,1.0,,2.0,
42,tracking_update,,,1.0,,2.0,
43,tracking_update,,,1.0,,2.0,
53,tracking_update,,,2.0,,0.0,
54,tracking_update,,,2.0,,0.0,
55,tracking_update,,,2.0,,0.0,
56,tracking_update,,,2.0,,0.0,
57,tracking_update,,,2.0,,0.0,
58,tracking_update,,,2.0,,0.0,
63,tracking_update,,,1.0,,2.0,
64,tracking_update,,,0.0,,1.0,
64,tracking_update,,,1.0,,2.0,
65,tracking_update,,,0.0,,1.0,
