mode,episode,total_reward,steps,success,final_info
tracking,0,-27.996527285799388,300,False,"{'detected': False, 'success': False, 'target_pos': [18.864730834960938, 59.387977600097656], 'target_vel': [-1.3062553405761719, -3.780700445175171], 'last_known_pos': [81.49017333984375, 88.12934112548828], 'last_known_vel': [-2.344196319580078, -3.241102457046509]}"
tracking,1,-38.46084364955498,300,False,"{'detected': False, 'success': False, 'target_pos': [70.73204040527344, 50.95801544189453], 'target_vel': [-2.8688695430755615, -2.7873973846435547], 'last_known_pos': [61.73551940917969, 54.939754486083984], 'last_known_vel': [2.105905532836914, -3.400758981704712]}"
tracking,2,-16.415869871288535,180,True,"{'detected': True, 'success': True, 'target_pos': [92.91915130615234, 85.11541748046875], 'target_vel': [0.1598445028066635, -3.996804714202881], 'last_known_pos': [92.91915130615234, 85.11541748046875], 'last_known_vel': [0.1598445028066635, -3.996804714202881]}"
tracking,3,-32.83200503451377,300,False,"{'detected': False, 'success': False, 'target_pos': [31.914480209350586, 19.44443130493164], 'target_vel': [0.8847098350524902, -3.9009344577789307], 'last_known_pos': [18.64382553100586, 77.95845031738281], 'last_known_vel': [0.20696301758289337, -3.9946422576904297]}"
tracking,4,-2.9767070262134094,72,True,"{'detected': True, 'success': True, 'target_pos': [12.951492309570312, 88.87480926513672], 'target_vel': [-2.7870516777038574, 2.869205951690674], 'last_known_pos': [12.951492309570312, 88.87480926513672], 'last_known_vel': [-2.7870516777038574, 2.869205951690674]}"
tracking,5,-9.971862456500535,300,False,"{'detected': False, 'success': False, 'target_pos': [66.71990203857422, 10.207242965698242], 'target_vel': [-2.0686705112457275, 3.423536777496338], 'last_known_pos': [50.463951110839844, 33.999168395996094], 'last_known_vel': [2.234053134918213, -3.3179824352264404]}"
tracking,6,-10.166338288851081,184,True,"{'detected': True, 'success': True, 'target_pos': [85.57022094726562, 21.874435424804688], 'target_vel': [-3.839700937271118, -1.121024250984192], 'last_known_pos': [85.57022094726562, 21.874435424804688], 'last_known_vel': [-3.839700937271118, -1.121024250984192]}"
tracking,7,-2.194454801093788,114,True,"{'detected': True, 'success': True, 'target_pos': [42.21184539794922, 45.30620193481445], 'target_vel': [2.962491750717163, -2.687683343887329], 'last_known_pos': [42.21184539794922, 45.30620193481445], 'last_known_vel': [2.962491750717163, -2.687683343887329]}"
tracking,8,1.6239245757460594,10,True,"{'detected': True, 'success': True, 'target_pos': [25.28162384033203, 54.610408782958984], 'target_vel': [3.677356719970703, 1.573864221572876], 'last_known_pos': [25.28162384033203, 54.610408782958984], 'last_known_vel': [3.677356719970703, 1.573864221572876]}"
tracking,9,-20.84953816763311,300,False,"{'detected': False, 'success': False, 'target_pos': [55.115570068359375, 42.7595329284668], 'target_vel': [3.429097890853882, -2.059438467025757], 'last_known_pos': [33.345726013183594, 97.39517211914062], 'last_known_vel': [-3.7581512928009033, -1.369780421257019]}"
tracking,10,-23.598017236948017,300,False,"{'detected': True, 'success': False, 'target_pos': [70.1722183227539, 20.23185920715332], 'target_vel': [3.951462507247925, -0.6212442517280579], 'last_known_pos': [70.1722183227539, 20.23185920715332], 'last_known_vel': [3.951462507247925, -0.6212442517280579]}"
tracking,11,-11.0558158621192,300,False,"{'detected': False, 'success': False, 'target_pos': [48.53038787841797, 57.83295822143555], 'target_vel': [1.8095375299453735, 3.5672924518585205], 'last_known_pos': [65.236083984375, 44.558319091796875], 'last_known_vel': [3.7773377895355225, 1.315947413444519]}"
tracking,12,0.028163176670670698,174,True,"{'detected': True, 'success': True, 'target_pos': [77.13520812988281, 31.523855209350586], 'target_vel': [-1.708743929862976, -3.616655111312866], 'last_known_pos': [77.13520812988281, 31.523855209350586], 'last_known_vel': [-1.708743929862976, -3.616655111312866]}"
tracking,13,-8.683111000666866,300,False,"{'detected': False, 'success': False, 'target_pos': [80.69052124023438, 60.49280548095703], 'target_vel': [0.43029287457466125, 3.9767887592315674], 'last_known_pos': [76.98104858398438, 37.8185920715332], 'last_known_vel': [-1.8055686950683594, -3.5693023204803467]}"
tracking,14,-11.157083710357547,300,False,"{'detected': False, 'success': False, 'target_pos': [86.09424591064453, 76.97240447998047], 'target_vel': [3.8030974864959717, 1.239536166191101], 'last_known_pos': [36.65396499633789, 60.85847091674805], 'last_known_vel': [3.803098201751709, 1.2395341396331787]}"
tracking,15,-2.4525053973719455,288,True,"{'detected': True, 'success': True, 'target_pos': [45.751747131347656, 35.099849700927734], 'target_vel': [-3.999870538711548, -0.032183688133955], 'last_known_pos': [45.751747131347656, 35.099849700927734], 'last_known_vel': [-3.999870538711548, -0.032183688133955]}"
tracking,16,2.4488344678133727,39,True,"{'detected': True, 'success': True, 'target_pos': [45.088802337646484, 58.63642120361328], 'target_vel': [2.5907204151153564, -3.047649383544922], 'last_known_pos': [45.088802337646484, 58.63642120361328], 'last_known_vel': [2.5907204151153564, -3.047649383544922]}"
tracking,17,1.881775030754507,238,True,"{'detected': True, 'success': True, 'target_pos': [36.54255676269531, 59.073455810546875], 'target_vel': [-3.385822057723999, -2.129837989807129], 'last_known_pos': [36.54255676269531, 59.073455810546875], 'last_known_vel': [-3.385822057723999, -2.129837989807129]}"
tracking,18,1.4467959888279438,9,True,"{'detected': True, 'success': True, 'target_pos': [74.22797393798828, 55.936676025390625], 'target_vel': [-0.6421242356300354, 3.948122978210449], 'last_known_pos': [74.22797393798828, 55.936676025390625], 'last_known_vel': [-0.6421242356300354, 3.948122978210449]}"
tracking,19,1.4971967563033104,8,True,"{'detected': True, 'success': True, 'target_pos': [50.107818603515625, 41.73521041870117], 'target_vel': [2.1768321990966797, 3.3558013439178467], 'last_known_pos': [50.107818603515625, 41.73521041870117], 'last_known_vel': [2.1768321990966797, 3.3558013439178467]}"
tracking,20,5.419252031326295,165,True,"{'detected': True, 'success': True, 'target_pos': [58.51721954345703, 57.76460266113281], 'target_vel': [-3.1828770637512207, 2.4226624965667725], 'last_known_pos': [58.51721954345703, 57.76460266113281], 'last_known_vel': [-3.1828770637512207, 2.4226624965667725]}"
tracking,21,-1.8878246767222886,44,True,"{'detected': True, 'success': True, 'target_pos': [55.32017517089844, 66.6971435546875], 'target_vel': [2.0590832233428955, -3.429311513900757], 'last_known_pos': [55.32017517089844, 66.6971435546875], 'last_known_vel': [2.0590832233428955, -3.429311513900757]}"
tracking,22,0.739344839438796,85,True,"{'detected': True, 'success': True, 'target_pos': [25.382450103759766, 78.09317016601562], 'target_vel': [-0.218173086643219, 3.9940457344055176], 'last_known_pos': [25.382450103759766, 78.09317016601562], 'last_known_vel': [-0.218173086643219, 3.9940457344055176]}"
tracking,23,-18.000992885887612,300,False,"{'detected': False, 'success': False, 'target_pos': [85.62478637695312, 67.70097351074219], 'target_vel': [-3.2185468673706055, -2.3750696182250977], 'last_known_pos': [64.30284118652344, 62.50104522705078], 'last_known_vel': [3.674837827682495, 1.5797368288040161]}"
tracking,24,1.814732140868902,22,True,"{'detected': True, 'success': True, 'target_pos': [63.2161865234375, 40.44219207763672], 'target_vel': [2.7208080291748047, 2.932098865509033], 'last_known_pos': [63.2161865234375, 40.44219207763672], 'last_known_vel': [2.7208080291748047, 2.932098865509033]}"
tracking,25,2.202312742203474,84,True,"{'detected': True, 'success': True, 'target_pos': [24.716394424438477, 36.70863723754883], 'target_vel': [3.1686556339263916, -2.4412338733673096], 'last_known_pos': [24.716394424438477, 36.70863723754883], 'last_known_vel': [3.1686556339263916, -2.4412338733673096]}"
tracking,26,8.081479443546385,226,True,"{'detected': True, 'success': True, 'target_pos': [51.585201263427734, 31.485719680786133], 'target_vel': [-1.270301342010498, -3.7929320335388184], 'last_known_pos': [51.585201263427734, 31.485719680786133], 'last_known_vel': [-1.270301342010498, -3.7929320335388184]}"
tracking,27,3.170164291471243,133,True,"{'detected': True, 'success': True, 'target_pos': [21.499258041381836, 77.28842163085938], 'target_vel': [-2.217621088027954, -3.3289871215820312], 'last_known_pos': [21.499258041381836, 77.28842163085938], 'last_known_vel': [-2.217621088027954, -3.3289871215820312]}"
tracking,28,3.2168862416371704,228,True,"{'detected': True, 'success': True, 'target_pos': [32.55318832397461, 53.423824310302734], 'target_vel': [0.44288691878318787, -3.975405693054199], 'last_known_pos': [32.55318832397461, 53.423824310302734], 'last_known_vel': [0.44288691878318787, -3.975405693054199]}"
tracking,29,8.348687021516263,300,False,"{'detected': False, 'success': False, 'target_pos': [39.19756317138672, 25.371994018554688], 'target_vel': [-2.6460611820220947, 2.9997267723083496], 'last_known_pos': [21.330081939697266, 68.10966491699219], 'last_known_vel': [1.5457062721252441, -3.6892805099487305]}"
tracking,30,2.6741114620640873,300,False,"{'detected': False, 'success': False, 'target_pos': [19.48103141784668, 24.191631317138672], 'target_vel': [-3.226229429244995, 2.364623546600342], 'last_known_pos': [51.34276580810547, 42.29666519165039], 'last_known_vel': [-2.0706160068511963, -3.4223601818084717]}"
tracking,31,1.873932309448719,8,True,"{'detected': True, 'success': True, 'target_pos': [62.19931411743164, 45.64910125732422], 'target_vel': [0.5190680027008057, 3.9661779403686523], 'last_known_pos': [62.19931411743164, 45.64910125732422], 'last_known_vel': [0.5190680027008057, 3.9661779403686523]}"
tracking,32,2.269086942076683,13,True,"{'detected': True, 'success': True, 'target_pos': [61.9855842590332, 62.24842834472656], 'target_vel': [3.016200542449951, -2.627267599105835], 'last_known_pos': [61.9855842590332, 62.24842834472656], 'last_known_vel': [3.016200542449951, -2.627267599105835]}"
tracking,33,5.377402115821839,258,True,"{'detected': True, 'success': True, 'target_pos': [63.97665786743164, 21.851741790771484], 'target_vel': [-0.7896851301193237, -3.9212751388549805], 'last_known_pos': [63.97665786743164, 21.851741790771484], 'last_known_vel': [-0.7896851301193237, -3.9212751388549805]}"
